epoch,step,vehicle_id,speed_kmh,accel_ms2,prox_m,wave_m,ai_score,category
1,162,cross_4,50.3,0.179,143.47,18.072,46.34,Normal
1,162,cross_5,30.16,0.0,196.85,0.0,2.02,Conservative
1,165,cross_0,15.66,6.387,12.89,32.23,100.0,Aggressive
1,165,cross_1,34.7,6.11,12.15,35.481,100.0,Aggressive
1,165,cross_2,50.18,-0.562,43.78,36.257,49.08,Normal
1,165,cross_3,50.33,0.308,83.82,34.641,46.86,Normal
1,165,cross_4,50.32,0.076,139.55,19.285,45.93,Normal
1,165,cross_5,32.34,6.049,194.35,0.0,22.32,Conservative
1,168,cross_0,18.04,6.6,16.3,31.616,97.07,Aggressive
1,168,cross_1,36.95,6.248,13.68,35.163,100.0,Aggressive
1,168,cross_2,50.22,0.106,40.99,36.257,48.63,Normal
1,168,cross_3,50.38,0.139,80.12,35.864,46.19,Normal
1,168,cross_4,50.24,-0.234,135.74,20.498,46.55,Normal
1,168,cross_5,34.62,6.353,191.73,0.0,22.66,Conservative
1,171,cross_0,20.45,6.711,19.81,30.936,90.1,Aggressive
1,171,cross_1,39.19,6.219,16.32,34.816,99.72,Aggressive
1,171,cross_2,49.1,-3.093,38.76,36.255,61.77,Normal
1,171,cross_3,50.31,-0.196,76.62,36.021,46.41,Normal
1,171,cross_4,50.33,0.235,132.03,21.71,46.57,Normal
1,171,cross_5,36.87,6.254,188.98,3.157,63.02,Normal
1,174,cross_0,22.76,6.41,22.54,30.206,85.28,Aggressive
1,174,cross_1,41.4,6.128,18.82,34.454,94.92,Aggressive
1,174,cross_2,47.83,-3.55,36.72,36.243,64.93,Normal
1,174,cross_3,50.33,0.077,73.11,36.132,45.94,Normal
1,174,cross_4,50.23,-0.269,128.27,22.922,46.68,Normal
1,174,cross_5,39.17,6.375,186.02,4.126,63.41,Normal
1,177,cross_0,24.93,6.019,26.25,29.439,79.42,Aggressive
1,177,cross_1,43.77,6.587,22.75,34.09,88.02,Aggressive
1,177,cross_2,46.91,-2.535,35.88,36.218,61.42,Normal
1,177,cross_3,50.17,-0.443,70.04,36.202,47.37,Normal
1,177,cross_4,50.3,0.204,124.77,24.133,46.44,Normal
1,177,cross_5,41.66,6.91,183.0,5.151,63.86,Normal
1,180,cross_0,27.37,6.775,30.07,28.649,74.37,Aggressive
1,180,cross_1,45.95,6.064,27.05,33.736,81.54,Aggressive
1,180,cross_2,46.18,-2.048,35.8,36.177,59.38,Normal
